"Date","Price","Open","High","Low","Change %"
"02/25/2025","45.81","45.81","45.81","45.81","1.08%"
"02/24/2025","45.32","45.32","45.32","45.32","-2.18%"
"02/21/2025","46.33","46.33","46.33","46.33","1.09%"
"02/20/2025","45.83","45.83","46.34","45.83","0.07%"
"02/19/2025","45.80","45.80","45.80","45.76","-3.15%"
"02/18/2025","47.29","47.29","47.29","45.82","0.02%"
"02/17/2025","47.28","47.28","47.29","47.28","-1.15%"
"02/14/2025","47.83","47.83","47.83","47.27","-1.01%"
"02/13/2025","48.32","48.32","48.32","47.86","-0.96%"
"02/12/2025","48.79","48.79","48.79","48.24","-0.02%"
"02/11/2025","48.80","48.80","48.80","48.73","-2.09%"
"02/10/2025","49.84","49.84","49.84","48.86","1.10%"
"02/07/2025","49.30","49.30","49.30","49.30","-0.98%"
"02/06/2025","49.79","49.79","49.79","49.79","-1.07%"
"02/05/2025","50.33","50.33","50.33","50.33","-0.79%"
"02/04/2025","50.73","50.73","50.73","50.73","1.72%"
"02/03/2025","49.87","49.87","49.87","49.87","-0.80%"
"01/31/2025","50.27","50.27","50.27","50.27","-1.00%"
"01/30/2025","50.78","50.78","50.78","50.78","-0.06%"
"01/29/2025","50.81","50.81","50.81","50.81","-0.94%"
"01/28/2025","51.29","51.29","51.29","51.29","1.89%"
"01/27/2025","50.34","50.34","50.34","50.34","0.04%"
"01/24/2025","50.32","50.32","50.32","50.32","0.04%"
"01/23/2025","50.30","50.30","50.30","50.30","-1.00%"
"01/22/2025","50.81","50.81","50.81","50.81","0.93%"
"01/21/2025","50.34","50.34","50.82","50.34","-0.94%"
"01/20/2025","50.82","50.82","50.82","50.30","-1.03%"
"01/17/2025","51.35","51.35","51.35","50.87","-0.87%"
"01/16/2025","51.80","51.80","51.80","51.34","-3.70%"
"01/15/2025","53.79","53.79","53.79","51.91","-1.83%"
"01/14/2025","54.79","54.79","54.79","53.75","1.97%"
"01/13/2025","53.73","53.73","54.74","53.73","1.82%"
"01/10/2025","52.77","52.77","53.71","52.77","-0.08%"
"01/09/2025","52.81","52.81","52.81","52.77","2.96%"
"01/08/2025","51.29","51.29","52.76","51.29","-0.06%"
"01/07/2025","51.32","51.32","51.32","51.32","-1.80%"
"01/06/2025","52.26","52.26","52.26","51.24","-1.00%"
"01/03/2025","52.79","52.79","52.79","52.20","-0.96%"
"01/02/2025","53.30","53.30","53.30","51.78","-0.02%"
"01/01/2025","53.31","53.31","53.31","53.31","1.85%"
"12/31/2024","52.34","52.34","53.32","52.34","1.06%"
"12/30/2024","51.79","51.79","52.34","51.79","-0.08%"
"12/27/2024","51.83","51.83","51.83","51.77","0.02%"
"12/26/2024","51.82","51.82","51.82","51.82","0.00%"
"12/25/2024","51.82","51.82","51.82","51.82","0.02%"
"12/24/2024","51.81","51.81","51.81","51.81","0.00%"
"12/23/2024","51.81","51.81","51.81","51.78","-0.06%"
"12/20/2024","51.84","51.84","51.84","51.84","2.17%"
"12/19/2024","50.74","50.74","51.76","50.74","-0.14%"
"12/18/2024","50.81","50.81","50.82","50.81","0.99%"
"12/17/2024","50.31","50.31","50.80","50.31","0.06%"
"12/16/2024","50.28","50.28","50.32","50.28","0.02%"
"12/13/2024","50.27","50.27","50.27","50.22","0.94%"
"12/12/2024","49.80","49.80","50.21","49.80","-1.01%"
"12/11/2024","50.31","50.31","50.31","49.82","-0.04%"
"12/10/2024","50.33","50.33","50.35","50.33","-0.04%"
"12/09/2024","50.35","50.35","50.35","50.34","-1.00%"
"12/06/2024","50.86","50.86","50.86","50.37","-1.93%"
"12/05/2024","51.86","51.86","51.86","50.78","-1.78%"
"12/04/2024","52.80","52.80","52.80","51.80","-1.91%"
"12/03/2024","53.83","53.83","53.83","52.82","1.84%"
"12/02/2024","52.86","52.86","52.86","52.86","-1.80%"
"11/29/2024","53.83","53.83","53.83","52.91","0.00%"
"11/28/2024","53.83","53.88","53.88","53.88","-0.06%"
"11/27/2024","53.86","53.86","53.86","53.84","1.01%"
"11/26/2024","53.32","53.32","53.80","53.32","-0.07%"
"11/25/2024","53.36","53.36","53.36","53.36","1.02%"
"11/22/2024","52.82","52.82","53.42","52.82","-0.02%"
"11/21/2024","52.83","52.83","52.85","52.83","-0.90%"
"11/20/2024","53.31","53.31","53.31","52.80","1.79%"
"11/19/2024","52.37","52.37","53.35","52.37","-0.95%"
"11/18/2024","52.87","52.87","52.87","52.32","1.01%"
"11/15/2024","52.34","52.34","52.85","52.34","0.06%"
"11/14/2024","52.31","52.31","52.43","52.31","-1.82%"
"11/13/2024","53.28","53.28","53.28","53.28","1.76%"
"11/12/2024","52.36","52.36","52.36","52.36","-0.96%"
"11/11/2024","52.87","52.87","52.87","52.42","0.06%"
"11/08/2024","52.84","52.84","52.90","52.84","-2.78%"
"11/07/2024","54.35","54.35","54.35","52.86","-0.93%"
"11/06/2024","54.86","54.86","54.86","54.43","-0.85%"
"11/05/2024","55.33","55.33","55.33","54.79","0.88%"
"11/04/2024","54.85","54.85","55.29","54.85","-0.97%"
"11/01/2024","55.39","55.39","55.39","54.90","2.03%"
"10/31/2024","54.29","54.29","55.32","54.29","-0.15%"
"10/30/2024","54.37","54.37","54.37","54.22","1.04%"
"10/29/2024","53.81","53.81","54.32","53.81","0.00%"
"10/28/2024","53.81","53.81","53.88","53.81","-0.98%"
"10/25/2024","54.34","54.34","54.34","53.83","-1.84%"
"10/24/2024","55.36","55.36","55.36","54.40","0.02%"
"10/23/2024","55.35","55.35","55.36","55.35","0.04%"
"10/22/2024","55.33","55.33","55.33","55.33","-0.04%"
"10/21/2024","55.35","55.35","55.35","55.26","-0.05%"
"10/18/2024","55.38","55.38","55.40","55.38","-1.70%"
"10/17/2024","56.34","56.34","56.34","56.34","-0.02%"
"10/16/2024","56.35","56.35","56.35","56.35","-1.80%"
"10/15/2024","57.38","57.38","57.38","56.41","-3.32%"
"10/14/2024","59.35","59.35","59.35","57.37","0.00%"
"10/11/2024","59.35","59.35","59.36","59.35","0.05%"
"10/10/2024","59.32","59.32","59.32","59.32","-5.96%"
"10/09/2024","63.08","61.33","61.33","61.33","2.85%"
"10/08/2024","61.33","61.33","61.33","61.33","0.08%"
"10/07/2024","61.28","61.28","61.28","61.28","-2.39%"
"10/04/2024","62.78","62.78","62.78","61.19","0.00%"
"10/03/2024","62.78","62.78","65.36","62.78","0.00%"
"10/02/2024","62.78","62.78","62.78","62.25","1.57%"
"10/01/2024","61.81","61.81","62.86","61.81","0.00%"
"09/30/2024","61.81","61.81","61.81","59.29","0.03%"
"09/27/2024","61.79","61.79","61.84","61.79","-0.83%"
"09/26/2024","62.31","62.31","62.31","61.83","-0.02%"
"09/25/2024","62.32","62.32","62.32","62.29","-0.78%"
"09/24/2024","62.81","62.81","62.81","62.37","0.00%"
"09/23/2024","62.81","62.81","62.81","60.90","2.08%"
"09/20/2024","61.53","61.53","62.80","61.53","7.42%"
"09/19/2024","57.28","57.28","57.28","55.81","0.00%"
"09/18/2024","57.28","57.28","57.28","55.03","-0.05%"
"09/17/2024","57.31","57.31","57.31","57.26","0.90%"
"09/16/2024","56.80","56.80","57.32","56.80","-3.37%"
"09/13/2024","58.78","58.78","58.78","56.79","-1.64%"
"09/12/2024","59.76","59.76","59.76","58.71","-0.91%"
"09/11/2024","60.31","60.31","60.31","59.82","1.72%"
"09/10/2024","59.29","59.29","60.31","59.29","-1.61%"
"09/09/2024","60.26","60.26","60.26","59.32","1.60%"
"09/06/2024","59.31","59.31","60.30","59.31","0.03%"
"09/05/2024","59.29","59.29","59.29","59.29","-0.03%"
"09/04/2024","59.31","59.31","59.31","59.31","2.63%"
"09/03/2024","57.79","57.79","57.79","60.64","0.05%"
"09/02/2024","57.76","57.76","57.76","57.75","-0.02%"
"08/30/2024","57.77","57.77","59.29","57.25","0.00%"
"08/29/2024","57.77","57.77","57.79","57.77","-0.05%"
"08/28/2024","57.80","57.80","57.81","57.80","0.91%"
"08/27/2024","57.28","57.28","57.78","57.28","-0.07%"
"08/26/2024","57.32","57.32","57.32","57.32","0.03%"
"08/23/2024","57.30","57.30","57.30","57.30","0.00%"
"08/22/2024","57.30","57.30","57.30","57.25","-3.36%"
"08/21/2024","59.29","59.29","59.29","57.34","0.05%"
"08/20/2024","59.26","59.26","59.31","59.26","-0.03%"
"08/19/2024","59.28","59.28","59.28","59.28","-0.84%"
"08/16/2024","59.78","59.78","59.78","59.28","-4.72%"
"08/15/2024","62.74","62.74","62.74","59.67","-2.35%"
"08/14/2024","64.25","64.25","64.25","62.75","-0.77%"
"08/13/2024","64.75","64.75","64.75","64.28","-0.74%"
"08/12/2024","65.23","65.23","65.23","64.74","-0.05%"
"08/09/2024","65.26","65.26","65.26","65.26","-0.02%"
"08/08/2024","65.27","65.27","65.27","65.25","-5.64%"
"08/07/2024","69.17","69.17","69.17","65.19","0.07%"
"08/06/2024","69.12","69.12","69.14","69.12","3.50%"
"08/05/2024","66.78","66.78","69.20","66.78","4.67%"
"08/02/2024","63.80","63.80","66.82","63.80","4.10%"
"08/01/2024","61.29","61.29","63.79","61.29","-2.36%"
"07/31/2024","62.77","62.77","62.77","61.31","0.00%"
"07/30/2024","62.77","62.77","62.81","62.77","0.02%"
"07/29/2024","62.76","62.76","62.78","62.76","-1.57%"
"07/26/2024","63.76","63.76","63.76","62.76","3.22%"
"07/25/2024","61.77","61.77","63.76","61.77","0.82%"
"07/24/2024","61.27","61.27","61.80","61.27","0.82%"
"07/23/2024","60.77","60.77","61.30","60.77","-0.82%"
"07/22/2024","61.27","61.27","61.27","60.75","-0.02%"
"07/19/2024","61.28","61.28","61.28","61.24","0.00%"
"07/18/2024","61.28","61.28","61.29","61.28","0.74%"
"07/17/2024","60.83","60.83","61.27","60.83","0.88%"
"07/16/2024","60.30","60.30","60.83","60.30","0.07%"
"07/15/2024","60.26","60.26","60.30","60.26","-3.20%"
"07/12/2024","62.25","62.25","62.25","60.27","-0.02%"
"07/11/2024","62.26","62.26","62.34","62.26","-2.34%"
"07/10/2024","63.75","63.75","63.75","62.28","4.06%"
"07/09/2024","61.26","61.26","63.74","61.26","-2.42%"
"07/08/2024","62.78","62.78","62.78","61.31","-0.74%"
"07/05/2024","63.25","63.25","63.25","62.79","-1.57%"
"07/04/2024","64.26","64.26","64.26","63.24","-2.22%"
"07/03/2024","65.72","65.72","65.72","64.25","1.53%"
"07/02/2024","64.73","64.73","65.73","64.73","-3.66%"
"07/01/2024","67.19","67.19","67.19","64.67","3.02%"
"06/28/2024","65.22","65.22","67.21","65.22","0.00%"
"06/27/2024","65.22","65.22","65.23","65.22","0.00%"
"06/26/2024","65.22","65.22","65.22","65.21","-0.05%"
"06/25/2024","65.25","65.25","65.25","65.24","-1.48%"
"06/24/2024","66.23","66.23","66.23","65.23","3.87%"
"06/21/2024","63.76","63.76","66.27","63.76","0.03%"
"06/20/2024","63.74","63.74","63.75","63.74","-2.30%"
"06/19/2024","65.24","65.24","65.24","63.74","-0.02%"
"06/18/2024","65.25","65.25","65.25","65.25","0.06%"
"06/17/2024","65.21","65.21","65.21","65.21","11.11%"
"06/14/2024","58.69","58.69","65.32","58.69","-28.34%"
"06/13/2024","81.90","81.90","81.90","61.82","34.75%"
"06/12/2024","60.78","60.78","60.78","58.87","3.37%"
"06/11/2024","58.80","58.80","60.81","58.80","3.52%"
"06/10/2024","56.80","56.80","58.74","56.80","0.04%"
"06/07/2024","56.78","56.78","56.78","56.73","-0.05%"
"06/06/2024","56.81","56.81","56.81","56.77","-0.80%"
"06/05/2024","57.27","57.27","57.27","56.80","1.76%"
"06/04/2024","56.28","56.28","57.33","56.28","-0.90%"
"06/03/2024","56.79","56.79","56.79","56.36","-27.21%"
"05/31/2024","78.02","78.02","78.02","56.77","0.00%"
"05/30/2024","78.02","78.02","78.02","56.32","38.73%"
"05/29/2024","56.24","56.24","56.72","56.24","-0.97%"
"05/28/2024","56.79","56.79","56.79","56.26","-0.07%"
"05/27/2024","56.83","56.83","56.86","56.83","0.00%"
"05/24/2024","56.83","56.83","56.83","56.81","0.05%"
"05/23/2024","56.80","56.80","56.80","56.73","-0.86%"
"05/22/2024","57.29","57.29","57.29","56.75","-0.69%"
"05/21/2024","57.69","57.69","57.69","57.32","0.70%"
"05/20/2024","57.29","57.29","57.29","57.28","-0.03%"
"05/17/2024","57.31","57.31","57.31","57.24","-0.07%"
"05/16/2024","57.35","57.35","57.35","57.29","36.35%"
"05/15/2024","42.06","42.06","57.41","42.06","-27.86%"
"05/14/2024","58.30","58.30","58.30","58.28","0.00%"
"05/13/2024","58.30","58.30","58.32","58.30","-0.88%"
"05/10/2024","58.82","58.82","58.82","58.28","0.05%"
"05/09/2024","58.79","58.79","58.80","58.79","0.00%"
"05/08/2024","58.79","58.79","58.79","58.77","-1.69%"
"05/07/2024","59.80","59.80","59.80","58.82","0.00%"
"05/06/2024","59.80","59.80","59.82","59.80","-0.12%"
"05/03/2024","59.87","60.82","60.82","59.87","-2.38%"
"05/02/2024","61.33","61.33","61.33","60.86","1.72%"
"05/01/2024","60.29","60.29","61.29","60.29","0.77%"
"04/30/2024","59.83","59.83","60.23","59.83","-0.76%"
"04/29/2024","60.29","60.29","60.29","59.83","-1.65%"
"04/26/2024","61.30","61.30","61.30","60.35","0.86%"
